Class,crop_planet_1,crop_planet_2,crop_planet_3,crop_planet_4,crop_planet_5,crop_planet_6,crop_planet_7,crop_planet_8
"4","389.00000","596.00000","718.00000","871.00000","1051.00000","1078.00000","1289.00000","2308.00000"
"4","438.00000","639.00000","740.00000","899.00000","1214.00000","1138.00000","1376.00000","2418.00000"
"4","631.00000","848.00000","815.00000","977.00000","1216.00000","1240.00000","1384.00000","2343.00000"
"4","306.00000","476.00000","593.00000","778.00000","868.00000","877.00000","1077.00000","2108.00000"
"4","168.00000","416.00000","516.00000","656.00000","835.00000","805.00000","1134.00000","2157.00000"
"4","286.00000","512.00000","669.00000","798.00000","924.00000","908.00000","1230.00000","2684.00000"
"4","148.00000","357.00000","463.00000","564.00000","619.00000","647.00000","911.00000","2191.00000"
"4","521.00000","616.00000","732.00000","972.00000","1023.00000","983.00000","1377.00000","2537.00000"
"4","409.00000","649.00000","773.00000","907.00000","975.00000","1029.00000","1309.00000","2696.00000"
"4","546.00000","778.00000","843.00000","977.00000","1012.00000","1015.00000","1298.00000","2419.00000"
"4","377.00000","634.00000","667.00000","768.00000","829.00000","850.00000","1034.00000","2186.00000"
"4","365.00000","533.00000","611.00000","748.00000","825.00000","840.00000","1073.00000","2193.00000"
"4","527.00000","717.00000","864.00000","997.00000","1099.00000","1084.00000","1282.00000","2593.00000"
"4","2617.00000","2997.00000","2935.00000","2920.00000","3087.00000","3316.00000","3310.00000","4369.00000"
"4","438.00000","741.00000","824.00000","943.00000","939.00000","944.00000","1143.00000","2023.00000"
"4","599.00000","918.00000","900.00000","1004.00000","969.00000","1074.00000","1192.00000","2276.00000"
"4","635.00000","945.00000","1001.00000","1095.00000","1225.00000","1156.00000","1339.00000","2515.00000"
"4","2183.00000","2597.00000","2160.00000","2068.00000","2305.00000","2760.00000","2548.00000","3821.00000"
"4","660.00000","884.00000","961.00000","1084.00000","1141.00000","1218.00000","1415.00000","2435.00000"
"4","362.00000","673.00000","759.00000","906.00000","1088.00000","1051.00000","1191.00000","2247.00000"
"4","659.00000","910.00000","987.00000","1091.00000","1256.00000","1322.00000","1431.00000","2390.00000"
"4","1840.00000","2329.00000","2221.00000","2177.00000","2295.00000","2482.00000","2622.00000","3772.00000"
"4","1068.00000","1443.00000","1536.00000","1711.00000","1761.00000","1784.00000","1968.00000","2599.00000"
"4","407.00000","662.00000","785.00000","861.00000","990.00000","958.00000","1128.00000","2113.00000"
"4","805.00000","1024.00000","1129.00000","1225.00000","1331.00000","1310.00000","1513.00000","2592.00000"
"4","616.00000","738.00000","817.00000","940.00000","1087.00000","1112.00000","1237.00000","2152.00000"
"4","626.00000","843.00000","944.00000","1035.00000","1141.00000","1216.00000","1183.00000","1956.00000"
"4","661.00000","872.00000","979.00000","1084.00000","1155.00000","1180.00000","1337.00000","2030.00000"
"4","840.00000","1180.00000","1154.00000","1225.00000","1377.00000","1452.00000","1399.00000","2275.00000"
"4","585.00000","860.00000","1042.00000","1152.00000","1290.00000","1346.00000","1405.00000","2284.00000"
"4","1205.00000","1436.00000","1412.00000","1377.00000","1548.00000","1678.00000","1758.00000","2645.00000"
"4","740.00000","984.00000","941.00000","1018.00000","1074.00000","1159.00000","1206.00000","2182.00000"
"4","588.00000","863.00000","858.00000","929.00000","1038.00000","1077.00000","1166.00000","2034.00000"
"4","874.00000","998.00000","1113.00000","1179.00000","1259.00000","1339.00000","1436.00000","2333.00000"
"4","1699.00000","2206.00000","2398.00000","2569.00000","2978.00000","3022.00000","3504.00000","4773.00000"
"4","1413.00000","1752.00000","2027.00000","2169.00000","2416.00000","2535.00000","2827.00000","4317.00000"
"4","2419.00000","2757.00000","2927.00000","3160.00000","3531.00000","3955.00000","4055.00000","5926.00000"
"4","865.00000","1046.00000","1190.00000","1384.00000","1480.00000","1500.00000","1768.00000","3135.00000"
"4","677.00000","963.00000","1025.00000","1058.00000","1173.00000","1175.00000","1345.00000","2453.00000"
"4","683.00000","866.00000","954.00000","1025.00000","1075.00000","1071.00000","1314.00000","2420.00000"
"4","734.00000","953.00000","1022.00000","1135.00000","1238.00000","1162.00000","1417.00000","2357.00000"
"4","962.00000","1088.00000","1085.00000","1189.00000","1323.00000","1353.00000","1549.00000","2600.00000"
"4","898.00000","1035.00000","1148.00000","1219.00000","1331.00000","1348.00000","1556.00000","2586.00000"
"4","834.00000","1050.00000","1078.00000","1141.00000","1267.00000","1266.00000","1379.00000","2384.00000"
"4","957.00000","1116.00000","1154.00000","1200.00000","1279.00000","1294.00000","1454.00000","2507.00000"
"4","845.00000","1041.00000","1117.00000","1238.00000","1321.00000","1302.00000","1537.00000","2583.00000"
"4","958.00000","1070.00000","1115.00000","1215.00000","1256.00000","1226.00000","1454.00000","2675.00000"
"4","983.00000","1129.00000","1171.00000","1274.00000","1328.00000","1421.00000","1455.00000","2525.00000"
"4","907.00000","1074.00000","1077.00000","1222.00000","1280.00000","1352.00000","1434.00000","2365.00000"
"4","846.00000","1033.00000","1037.00000","1093.00000","1214.00000","1162.00000","1286.00000","2065.00000"
"4","853.00000","1038.00000","1067.00000","1170.00000","1238.00000","1243.00000","1331.00000","2249.00000"
"4","803.00000","1012.00000","1087.00000","1221.00000","1273.00000","1380.00000","1381.00000","2407.00000"
"4","848.00000","1019.00000","1097.00000","1126.00000","1188.00000","1241.00000","1320.00000","2089.00000"
"4","903.00000","1090.00000","1136.00000","1239.00000","1264.00000","1281.00000","1399.00000","2432.00000"
"4","993.00000","1144.00000","1179.00000","1257.00000","1289.00000","1305.00000","1525.00000","2422.00000"
"4","1039.00000","1186.00000","1182.00000","1274.00000","1286.00000","1352.00000","1395.00000","2526.00000"
"4","1138.00000","1217.00000","1244.00000","1332.00000","1338.00000","1382.00000","1566.00000","2517.00000"
"4","632.00000","742.00000","798.00000","910.00000","904.00000","927.00000","1132.00000","2066.00000"
"4","680.00000","902.00000","906.00000","963.00000","1030.00000","1066.00000","1194.00000","2165.00000"
"4","562.00000","748.00000","797.00000","890.00000","923.00000","991.00000","1211.00000","2118.00000"
"4","863.00000","1173.00000","1183.00000","1253.00000","1219.00000","1287.00000","1451.00000","2975.00000"
"4","629.00000","971.00000","1035.00000","1131.00000","1109.00000","1124.00000","1367.00000","2791.00000"
"4","1160.00000","1384.00000","1309.00000","1423.00000","1437.00000","1567.00000","1659.00000","3093.00000"
"4","1221.00000","1479.00000","1464.00000","1486.00000","1587.00000","1683.00000","1764.00000","3088.00000"
"4","451.00000","760.00000","836.00000","986.00000","1082.00000","1143.00000","1354.00000","2416.00000"
"4","395.00000","645.00000","849.00000","965.00000","1002.00000","974.00000","1418.00000","3100.00000"
